--- Starting Training: MLP_DDQN 20251207_142654 ---
--- Hyperparameters ---
device: cuda
seed: 42
keep_top_n: 1000
min_ratings: 5
val_ratio: 0.2
data_rel_path: data/ml-latest-small
model_base: models/dqn_movielens.pt
model_finetuned: models/dqn_movielens_finetuned.pt
plot_summary: reports/figures/training_summary.png
model_arch: MLP
use_double_q: True
history_window: 10
hidden_dim: 256
dropout_rate: 0.2
buffer_size: 100000
batch_size: 256
learning_rate: 0.0003
gamma: 0.9
target_update: 1000
base_n_updates: 10000
log_interval: 500
weight_decay: 1e-05
repeat_penalty: 1
popularity_penalty: 0.2
ft_n_steps: 2000
ft_batch_size: 32
ft_lr: 1e-05
ft_weight_decay: 1e-05
margin: 0.5
neg_per_pos: 5
use_candidates: True
candidate_k: 200
frac_candidate: 0.5
---- Architecture: MLP | Algorithm: DDQN ------
Total unique movies with ratings before filtering: 9724
Filtered to top 1000 movies. Remaining Ratings: 61256
Filtered users with < 5 ratings. Ratings dropped: 3
[RecoEnv] state_dim=200, n_actions=1000, repeat_penalty=1, popularity_penalty=0.2  
Mode=Flattened 
train_transitions=96990, val_transitions=24252
[RecoEnv] reward(train): min=-1.426, max=0.997, mean=-0.118
Sample train rewards: [ 0.8776923  -0.5         0.4823077  -0.5         0.97692305 -0.5
  0.4076923  -0.5         0.90076923 -0.5         0.47230768 -0.5
  0.47153845 -0.5         0.8676923  -0.5         0.43384615 -0.5
  0.44846153 -0.5       ]
DQN(
  (fc1): Linear(in_features=200, out_features=256, bias=True)
  (fc2): Linear(in_features=256, out_features=128, bias=True)
  (fc3): Linear(in_features=128, out_features=64, bias=True)
  (out): Linear(in_features=64, out_features=1000, bias=True)
  (act): ReLU()
  (dropout): Dropout(p=0.2, inplace=False)
)
[Agent] Preloaded 96990 transitions into replay buffer.
Loading Train/Validation Data...
--- Loading Data (Top 1000 movies, Min 5 ratings) ---
Total unique movies with ratings before filtering: 9724
Filtered to top 1000 movies. Remaining Ratings: 61256
Filtered users with < 5 ratings. Ratings dropped: 3
Starting training for 10000 steps...
Step  100 | Loss: 0.1337 | NDCG@10: 0.1205 | Avg Q: -0.003 | Reward: 0.359
--- Best Model Saved!
Step  200 | Loss: 0.1310 | NDCG@10: 0.1330 | Avg Q: -0.028 | Reward: 0.685
--- Best Model Saved!
Step  300 | Loss: 0.1293 | NDCG@10: 0.1892 | Avg Q: -0.041 | Reward: 0.924
--- Best Model Saved!
Step  400 | Loss: 0.1280 | NDCG@10: 0.1601 | Avg Q: -0.050 | Reward: 0.826
Step  500 | Loss: 0.1268 | NDCG@10: 0.1796 | Avg Q: -0.045 | Reward: 0.880
Step  600 | Loss: 0.1263 | NDCG@10: 0.1725 | Avg Q: -0.090 | Reward: 0.989
Step  700 | Loss: 0.1256 | NDCG@10: 0.1881 | Avg Q: -0.134 | Reward: 0.935
Step  800 | Loss: 0.1250 | NDCG@10: 0.1658 | Avg Q: -0.148 | Reward: 0.967
Step  900 | Loss: 0.1244 | NDCG@10: 0.1626 | Avg Q: -0.166 | Reward: 0.880
Step 1000 | Loss: 0.1239 | NDCG@10: 0.1654 | Avg Q: -0.157 | Reward: 0.924
Step 1100 | Loss: 0.1260 | NDCG@10: 0.1562 | Avg Q: -0.042 | Reward: 0.783
Step 1200 | Loss: 0.1272 | NDCG@10: 0.1437 | Avg Q: 0.055 | Reward: 0.761
Step 1300 | Loss: 0.1268 | NDCG@10: 0.2110 | Avg Q: 0.104 | Reward: 0.902
--- Best Model Saved!
Step 1400 | Loss: 0.1263 | NDCG@10: 0.1802 | Avg Q: 0.089 | Reward: 0.924
Step 1500 | Loss: 0.1257 | NDCG@10: 0.1681 | Avg Q: 0.107 | Reward: 0.717
Step 1600 | Loss: 0.1251 | NDCG@10: 0.1834 | Avg Q: 0.084 | Reward: 0.793
Step 1700 | Loss: 0.1245 | NDCG@10: 0.1754 | Avg Q: 0.100 | Reward: 0.957
Step 1800 | Loss: 0.1241 | NDCG@10: 0.1651 | Avg Q: 0.115 | Reward: 0.880
Step 1900 | Loss: 0.1236 | NDCG@10: 0.1675 | Avg Q: 0.115 | Reward: 0.935
Step 2000 | Loss: 0.1231 | NDCG@10: 0.1402 | Avg Q: 0.095 | Reward: 0.870
Step 2100 | Loss: 0.1233 | NDCG@10: 0.1321 | Avg Q: 0.348 | Reward: 0.826
Step 2200 | Loss: 0.1229 | NDCG@10: 0.1381 | Avg Q: 0.374 | Reward: 0.826
Step 2300 | Loss: 0.1226 | NDCG@10: 0.1454 | Avg Q: 0.396 | Reward: 0.848
Step 2400 | Loss: 0.1223 | NDCG@10: 0.1626 | Avg Q: 0.422 | Reward: 0.674
Step 2500 | Loss: 0.1220 | NDCG@10: 0.1656 | Avg Q: 0.407 | Reward: 0.685
Step 2600 | Loss: 0.1217 | NDCG@10: 0.1629 | Avg Q: 0.428 | Reward: 0.750
Step 2700 | Loss: 0.1213 | NDCG@10: 0.1852 | Avg Q: 0.375 | Reward: 0.826
Step 2800 | Loss: 0.1210 | NDCG@10: 0.1699 | Avg Q: 0.398 | Reward: 0.772
Step 2900 | Loss: 0.1207 | NDCG@10: 0.1677 | Avg Q: 0.395 | Reward: 0.826
Step 3000 | Loss: 0.1203 | NDCG@10: 0.1674 | Avg Q: 0.428 | Reward: 0.924
Step 3100 | Loss: 0.1205 | NDCG@10: 0.1667 | Avg Q: 0.761 | Reward: 0.870
Step 3200 | Loss: 0.1203 | NDCG@10: 0.1594 | Avg Q: 0.730 | Reward: 0.717
Step 3300 | Loss: 0.1201 | NDCG@10: 0.1744 | Avg Q: 0.729 | Reward: 0.837
Step 3400 | Loss: 0.1199 | NDCG@10: 0.2230 | Avg Q: 0.728 | Reward: 1.065
--- Best Model Saved!
Step 3500 | Loss: 0.1197 | NDCG@10: 0.2140 | Avg Q: 0.736 | Reward: 1.109
Step 3600 | Loss: 0.1196 | NDCG@10: 0.1871 | Avg Q: 0.764 | Reward: 1.011
Step 3700 | Loss: 0.1193 | NDCG@10: 0.1907 | Avg Q: 0.748 | Reward: 0.880
Step 3800 | Loss: 0.1191 | NDCG@10: 0.1639 | Avg Q: 0.728 | Reward: 0.783
Step 3900 | Loss: 0.1188 | NDCG@10: 0.2006 | Avg Q: 0.736 | Reward: 0.924
Step 4000 | Loss: 0.1186 | NDCG@10: 0.1756 | Avg Q: 0.741 | Reward: 0.935
Step 4100 | Loss: 0.1188 | NDCG@10: 0.2000 | Avg Q: 1.113 | Reward: 0.978
